                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1231,                 24.658,                 4.2195,                  4e-05,                    0.5,                0.00012,                  5e-05,                 4.6719,                 7.8273,                 4.1547,             0.00040008,             0.00040008,             0.00040008
                      2,                  4.722,                 15.863,                 4.1533,                  4e-05,                    0.5,                0.00012,                  5e-05,                  4.561,                 7.4695,                 4.0819,             0.00081643,             0.00081643,             0.00081643
                      3,                 4.0672,                 9.5547,                 3.9267,                0.00014,                0.50725,                0.00021,                  5e-05,                 4.0968,                 6.8723,                 3.8355,              0.0012324,              0.0012324,              0.0012324
                      4,                 3.4829,                 7.5636,                  3.514,                0.00133,                0.63768,                0.00997,                 0.0025,                 3.2462,                 5.5632,                 3.5116,              0.0016479,              0.0016479,              0.0016479
                      5,                 3.4895,                 7.1682,                 3.2159,                0.53335,                0.05797,                0.01422,                0.00415,                 3.3657,                  5.141,                 3.2706,              0.0016637,              0.0016637,              0.0016637
                      6,                 3.1182,                 6.4643,                 3.1019,                0.56465,                0.06137,                0.28048,                0.04064,                 3.1679,                 5.3677,                 3.1552,              0.0016637,              0.0016637,              0.0016637
                      7,                 3.0398,                 6.3715,                 2.9242,                0.49938,                0.57246,                0.53698,                0.35725,                 3.0802,                 5.1594,                 3.2017,              0.0016629,              0.0016629,              0.0016629
                      8,                 3.0978,                 6.7264,                 2.8611,                0.55805,                0.10145,                0.20577,                0.09319,                 2.9729,                 4.5999,                 3.0361,               0.001662,               0.001662,               0.001662
                      9,                 2.8108,                 5.7017,                 2.6427,                0.59975,                0.53623,                 0.5819,                0.22059,                 2.8371,                  4.941,                 2.9426,              0.0016612,              0.0016612,              0.0016612
                     10,                 2.9339,                 5.6446,                 2.6255,                0.55831,                0.62319,                0.58159,                0.33294,                 2.7475,                  5.408,                 2.7988,              0.0016604,              0.0016604,              0.0016604
                     11,                 2.7868,                 5.2707,                 2.5912,                0.74905,                0.53623,                0.56565,                0.46321,                 2.8171,                 6.2599,                 2.8033,              0.0016596,              0.0016596,              0.0016596
                     12,                 2.5733,                 5.1052,                 2.4272,                   0.75,                    0.5,                0.32655,                0.27373,                 2.6467,                 9.2063,                 2.5857,              0.0016587,              0.0016587,              0.0016587
                     13,                 2.6507,                 5.5264,                 2.2386,                0.63947,                0.58696,                0.59524,                0.22819,                 2.6214,                 6.3055,                 2.6207,              0.0016579,              0.0016579,              0.0016579
